instructions,L1-icache-load-misses,dTLB-load-misses,branch-misses,iTLB-load-misses
239130,28828,1908,6182,2431
1023716,71268,2930,10056,3625
1238981,77189,3638,9357,4193
2505268,30911,1476,10188,1587
2451249,46600,1673,11848,2043
2175150,6758,922,3773,1488
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
145612,14559,859,2265,1061
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
567440,47429,2570,8978,3581
754904,44859,3111,8053,4620
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
342003,28256,2263,5672,3044
997815,50918,2857,7148,2596
1844327,17893,1839,7215,1152
902741,57107,3043,6951,3630
1080497,58592,2017,8056,2221
880500,47816,3317,10830,4103
920397,95423,5031,15703,6673
3529411,141807,5286,37657,4687
4391274,114423,2167,30021,2255
3584734,132129,3436,25016,3601
3939149,157864,2937,19931,3058
12861222,1867,28,2053,70
10810359,17529,751,5033,1319
2941023,149208,5327,22251,3520
8363017,118900,3175,18235,4216
16664152,14077,309,4511,531
8562238,59364,1767,26092,1231
6711241,79837,2125,26257,2314
11916427,25995,392,12942,2746
4967367,233876,7175,24285,9578
5601550,144013,4381,31800,4629
5521028,106832,2988,31576,3085
5986336,48404,1209,26130,943
6994928,45783,1157,20359,1215
9578468,411,28,58,42
7961190,12148,828,4540,359
4865241,88829,1350,30287,984
5994132,62016,874,23182,841
6431469,108439,860,26763,1095
7220041,95222,401,27111,765
8500918,50495,583,31094,477
9542194,60157,213,28979,649
6464683,116550,520,24256,1044
6600670,103368,487,30028,1222
7859269,74514,265,27205,685
7783759,86847,323,23682,926
6531108,126781,474,24869,1272
6928225,31080,774,19452,222
8007234,20741,295,26855,156
8290203,50463,1312,28329,1025
9129990,7084,1021,24016,158
8268840,8748,481,29790,215
7441054,7968,1083,40058,266
8474962,43343,1159,19884,828
9077856,49053,1191,28238,1449
4999767,108044,6943,24381,6500
5662767,50865,2399,32978,2120
7376190,31235,2744,18145,2384
6632359,43742,2436,21877,1808
6039292,19886,1338,35734,616
7936482,42853,1454,19506,1465
5052205,61453,2132,21446,1975
2796862,152337,5398,29133,6133
3577837,116385,5347,23779,5028
3872258,93192,3222,33959,2232
2476877,160155,4452,24799,4332
3726815,127740,4788,27378,3938
3458726,138449,3029,23975,3733
3532288,144722,4189,23389,5039
8756927,6144,342,5963,1349
8913986,454,3,5915,1779
4816587,112326,4733,30141,4790
4136347,182167,2455,42310,2630
3617234,135392,2592,20203,1875
2059209,29655,2217,6632,986
3307845,41002,2304,10774,1216
5533620,24368,2527,13269,1485
3190142,81288,2186,20027,2500
3360130,94782,3112,17202,2925
4750075,115883,1881,21368,3242
4536895,120973,2718,20027,3878
4608765,33623,1937,3031,919
3561789,23813,1876,4677,819
3339315,116529,2428,18124,2750
3062677,152924,1726,25920,2075
2801957,91516,2692,13193,2435
3127321,124046,2068,23180,2353
2318927,54198,1092,15438,1223
1143170,24,0,359,361
1178182,106,1,311,308
1061778,13,0,381,385
1284649,83,1,321,318
1033639,79,1,310,326
1019442,484,11,384,338
1082685,6,0,326,328
3425319,111254,3243,22351,4498
2903875,131974,2984,19799,4149
3773268,49293,2446,9310,1786
3133057,115042,3663,22107,2777
2321082,145314,3556,26950,4704
4097557,98594,3456,12626,3129
4110911,107121,1518,27256,1799
963945,76374,1469,15181,1288
4149254,247848,1159,23566,3550
5812502,276233,305,15176,3264
5882723,266376,316,15922,3855
3396067,137715,1919,14167,2186
2003050,110525,2421,13706,2598
4035165,178266,2049,15706,3448
4876475,207513,2306,18215,3965
5173242,208777,1721,18454,3763
5605812,176504,1599,16847,3340
5107495,168804,1831,15664,2893
3303365,162259,2526,18874,3622
5504270,205214,1523,18308,3325
6071139,279375,849,18309,3467
6108410,231367,1055,16655,3940
5559073,232130,1264,15975,3782
5400869,238385,1769,17741,3450
5687721,226758,1833,17661,3776
5348876,242106,2340,18671,4512
5122758,198808,2753,15930,3836
5433009,204562,2091,16477,3829
5318660,194404,1674,17372,3248
5367518,217560,1721,16780,3997
5382287,221378,2091,16258,3568
5342884,224856,1944,15723,4011
5815806,223217,623,15625,3208
5643978,220768,943,15633,2698
5189769,231602,2626,19155,4741
5208171,258095,2812,19590,4446
7330747,218096,678,17974,2605
7433869,198023,1494,18524,3409
5851116,243467,2432,18630,3903
6291077,240408,1068,18284,3034
6295527,238184,853,15876,3014
5976534,267509,866,19907,3672
7887559,264572,278,14585,2549
5927433,239212,374,14399,2556
6240032,258656,322,14182,2541
6099810,241581,390,14707,2462
3572595,142445,494,8320,1512
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
4047782,174941,969,13627,2521
5449872,218698,800,13957,2837
